Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,brickscapeslandscaping.com,maccollandstokeslandscaping.co.uk,brickscapeslandscaping.com (pages),maccollandstokeslandscaping.co.uk (pages),Results
ideas for outside bar,Informational,210,20,0.69,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,188
landscaping for small gardens,Informational,210,38,0.76,1.00,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,186
lanscaping,Informational,210,53,1.69,0.10,0,27,,https://www.maccollandstokeslandscaping.co.uk/,385000000
large patio ideas,Informational,210,25,1.09,1.00,0,18,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,191
levelling a sloping garden,Informational,210,12,2.04,0.03,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,98
low maintainance garden,Informational,210,16,0.98,0.86,0,11,,https://www.maccollandstokeslandscaping.co.uk/post/low-maintenance-garden-ideas,198
macclandscapes,Navigational,210,37,1.42,0.12,0,21,,https://www.maccollandstokeslandscaping.co.uk/,107
new build front garden ideas uk,Informational,210,9,0.00,0.16,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,137
outside bar ideas,Informational,210,17,2.18,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,190
outside living,Commercial,210,26,1.96,0.49,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,192
plant hire glasgow,Commercial,210,9,0.80,0.33,0,5,,https://www.maccollandstokeslandscaping.co.uk/plant-hire,117
simple design garden,Informational,210,33,0.65,0.87,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,191
simple garden designs,Informational,210,32,0.65,0.87,0,43,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,192
small garden plans,Informational,210,24,0.48,0.99,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,194
small modern garden,Informational,210,22,0.74,1.00,0,36,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,192
upward sloping garden ideas,Informational,210,16,0.64,0.11,0,13,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,129
waterlogged lawn,Informational,210,6,0.83,0.97,0,28,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,197
artificial lawn glasgow,Commercial,170,13,1.01,0.90,0,14,,https://www.maccollandstokeslandscaping.co.uk/artilawn-artificial-grass,171
bespoke outdoor kitchens,Informational,170,16,2.11,0.98,0,8,,https://www.maccollandstokeslandscaping.co.uk/outdoor-kitchens,205
commercial landscapers,Commercial,170,8,4.24,0.22,0,15,,https://www.maccollandstokeslandscaping.co.uk/,126
cost of concrete driveway,"Commercial, Informational",170,9,1.46,0.56,0,62,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,108
downhill sloped garden design,Informational,170,14,0.00,0.01,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,136
driveway glasgow,Commercial,170,13,2.45,0.45,0,11,,https://www.maccollandstokeslandscaping.co.uk/driveways,110
driveway surfaces options,Informational,170,15,1.09,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,200
easy maintenance garden ideas,Informational,170,21,0.42,1.00,0,23,,https://www.maccollandstokeslandscaping.co.uk/post/low-maintenance-garden-ideas,131
fire pit ideas garden,Informational,170,22,0.33,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/fire-pit-ideas-for-your-garden,180
front garden privacy ideas,Informational,170,19,0.00,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,201
garden design for small gardens uk,Informational,170,20,0.54,0.92,0,15,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,197
garden flooding,Informational,170,18,0.93,0.42,0,69,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,156
garden on a slope,Informational,170,19,0.68,0.11,0,15,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,127
garden slope ideas,Informational,170,14,0.39,0.64,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,203
glasgow garden landscapers,Commercial,170,46,1.57,0.56,0,1,,https://www.maccollandstokeslandscaping.co.uk/,108
glasgow landscape,Commercial,170,47,1.89,0.63,0,6,,https://www.maccollandstokeslandscaping.co.uk/,116
how much does a resin driveway cost uk,Informational,170,7,1.17,0.35,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,109
how to level a sloping garden,Informational,170,10,0.00,0.05,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,104
ideas for small garden,Informational,170,30,0.48,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,189
landscape design company,Commercial,170,44,1.98,0.14,0,18,,https://www.maccollandstokeslandscaping.co.uk/,139
landscapes companies,Commercial,170,33,3.44,0.50,0,9,,https://www.maccollandstokeslandscaping.co.uk/,128
landscaping ideas for small yards,Informational,170,41,0.45,1.00,0,55,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,203
landscope,Commercial,170,24,2.79,0.08,0,73,,https://www.maccollandstokeslandscaping.co.uk/,107
modern garden designs for small gardens,Informational,170,29,0.85,0.93,0,42,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,193
monoblock driveways glasgow,Commercial,170,5,2.53,0.32,0,5,,https://www.maccollandstokeslandscaping.co.uk/driveways,111
new build small garden ideas,Informational,170,17,0.47,0.63,0,28,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,133
outdoor kitchen worktop ideas,Informational,170,14,0.85,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,191
outdoor living ideas,Informational,170,34,0.86,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,190
outdoor living room,Informational,170,22,0.92,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,191
outdoor space,Commercial,170,30,1.42,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,210
outside space,Informational,170,23,1.88,0.94,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,136
patios glasgow,Commercial,170,9,1.85,0.28,0,4,,https://www.maccollandstokeslandscaping.co.uk/paving-patios,107
pergola installers,Commercial,170,12,2.23,1.00,0,18,,https://www.maccollandstokeslandscaping.co.uk/pergolas,205
pergola installers near me,Transactional,170,13,2.79,0.94,0,16,,https://www.maccollandstokeslandscaping.co.uk/pergolas,139
plant hire scotland uk,Commercial,170,16,1.29,0.17,0,56,,https://www.maccollandstokeslandscaping.co.uk/plant-hire,116
plant screening for privacy,Commercial,170,7,0.31,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,209
privacy plant screens,Informational,170,8,0.32,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,201
privacy screen garden ideas,Informational,170,23,0.21,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,199
pub garden ideas,Informational,170,6,0.00,1.00,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,201
resin driveway cost per m2 uk,Informational,170,7,1.53,0.63,0,2,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,115
simple front garden ideas uk,Informational,170,12,0.00,0.73,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,202
slope garden design,Informational,170,7,0.51,0.59,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,131
sloped garden designs,Informational,170,9,0.51,0.59,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,200
small garden desing,Informational,170,17,0.63,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,203
small garden lawn ideas,Informational,170,22,0.41,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,200
small garden room bar ideas,Informational,170,8,0.51,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,193
small modern garden designs,Informational,170,31,0.85,0.93,0,35,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,192
small sloped garden ideas,Informational,170,13,0.52,0.51,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,201
stepped garden,Informational,170,11,0.00,0.87,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,190
types of driveway,"Commercial, Informational",170,11,0.97,0.34,0,15,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,129
waterlogged garden solutions,Informational,170,6,0.89,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,134
waterlogged soil,Informational,170,16,0.00,0.12,0,56,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,134
artificial grass gartcosh,Commercial,140,10,0.00,0.00,0,48,,https://www.maccollandstokeslandscaping.co.uk/artilawn-artificial-grass,5200
bar ideas outdoor,Informational,140,17,2.26,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,194
bar in garden,Informational,140,23,1.60,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,198
bespoke outdoor kitchen,Informational,140,22,2.03,1.00,0,11,,https://www.maccollandstokeslandscaping.co.uk/outdoor-kitchens,203
best driveways,Commercial,140,12,1.30,0.92,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,132
driveway covering,Informational,140,5,1.11,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,194
driveway options uk,Informational,140,4,1.09,0.98,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,175
driveway styles,Informational,140,16,1.20,0.85,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,201
exterior bar ideas,Informational,140,11,2.18,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,186
fire pit designs,Informational,140,38,0.00,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/fire-pit-ideas-for-your-garden,191
flooded garden,Informational,140,11,0.93,0.42,0,43,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,194
front garden designs uk,"Commercial, Informational",140,21,0.67,0.33,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,202
front yard privacy ideas,Informational,140,36,0.00,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,179
garden bar decor,Informational,140,21,0.25,1.00,0,27,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,204
garden bar decor ideas,Informational,140,8,0.33,1.00,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,196
garden bar designs,Informational,140,16,2.96,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,201
garden bar interior ideas,Informational,140,9,0.00,0.92,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,193
garden bar outdoor,Commercial,140,22,0.59,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,206
garden bars ideas,Informational,140,13,0.62,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,204
garden design ideas for large gardens,Informational,140,23,0.60,0.97,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,206
garden design large,Informational,140,31,0.77,0.68,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,198
garden ideas for big gardens,Informational,140,25,0.54,0.88,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,194
garden pubs ideas,Informational,140,14,3.27,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,193
garden simple ideas,Informational,140,24,0.50,1.00,0,43,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,199
garden water features near me,Transactional,140,16,0.35,1.00,0,50,,https://www.maccollandstokeslandscaping.co.uk/water-features,208
gardening ideas for small spaces,Informational,140,30,0.50,1.00,0,17,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,197
german landscaping,Informational,140,8,0.00,0.33,0,50,,https://www.maccollandstokeslandscaping.co.uk/,71200000
home front garden ideas,Informational,140,34,0.73,0.96,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,132
home garden bar,"Informational, Transactional",140,20,0.71,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,200
how to drain a waterlogged lawn,Informational,140,6,0.51,0.98,0,47,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,108
how to flatten a garden,Informational,140,14,0.78,0.89,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,107
how to level a sloped garden,Informational,140,10,0.00,0.05,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,107
how to level out garden,Informational,140,11,0.00,0.40,0,26,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,104
how to level sloping garden,Informational,140,14,0.00,0.05,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,104
ideas for a large garden,Informational,140,25,0.54,0.88,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,192
ideas for outdoor living,Informational,140,32,1.09,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,187
kerb appeal ideas uk,Informational,140,23,0.00,0.33,0,25,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,136
landscape installation,Informational,140,22,0.00,0.01,0,11,,https://www.maccollandstokeslandscaping.co.uk/,137
landscaper glasgow,Commercial,140,47,1.89,0.63,0,3,,https://www.maccollandstokeslandscaping.co.uk/,113
leveling a garden,Informational,140,19,1.30,1.00,0,28,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,176
options for driveways,"Commercial, Informational",140,8,1.00,0.99,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,197
outdoor area,Informational,140,24,1.86,1.00,0,9,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,199
outdoor living area ideas,Informational,140,37,1.09,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,181
outdoor living room ideas,Informational,140,30,1.09,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,178
outdoor seating areas,Informational,140,41,0.37,1.00,0,18,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,192
overlooked garden before and after,Informational,140,22,0.00,0.10,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,128
patio cost uk,Informational,140,13,1.14,0.78,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,162
paving glasgow,Commercial,140,17,0.45,1.00,0,15,,https://www.maccollandstokeslandscaping.co.uk/paving-patios,110
pergola installation near me,Transactional,140,9,2.49,0.99,0,21,,https://www.maccollandstokeslandscaping.co.uk/pergolas,142
permeable resin driveway cost,Informational,140,9,1.44,0.68,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,115
planting a small garden ideas,Informational,140,14,0.55,1.00,0,48,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,129
price for resin driveway,Informational,140,12,1.53,0.71,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,171
screening ideas to block out neighbours,Informational,140,11,0.28,1.00,0,20,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,132
screening plants for privacy,Informational,140,14,0.31,1.00,0,21,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,196
sloped garden ideas on a budget uk,Informational,140,12,0.44,0.65,0,20,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,186
small back garden ideas uk,Informational,140,16,0.33,1.00,0,44,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,190
small contemporary garden designs,Informational,140,8,0.85,0.93,0,34,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,194
small garden layout,Informational,140,34,0.42,0.75,0,18,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,191
small garden layout ideas,Informational,140,28,0.51,0.87,0,13,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,191
small outdoor bar ideas,Informational,140,12,0.42,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,181
small sloped garden ideas uk,Informational,140,11,0.00,0.10,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,135
surfaces for driveways,"Commercial, Informational",140,16,1.29,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,195
types of driveway surfaces,Informational,140,20,1.00,0.62,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,133
types of driveways uk,Informational,140,11,0.91,0.42,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,114
uk driveway ideas,Informational,140,17,0.93,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,202
uneven garden ideas,Informational,140,16,0.00,0.43,0,26,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,184
waterlogged grass,Informational,140,8,0.95,0.87,0,28,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,161
albar landscapes,Navigational,110,23,0.78,0.02,0,33,,https://www.maccollandstokeslandscaping.co.uk/,107
back garden bar,Commercial,110,21,2.06,1.00,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,192
bespoke outdoor spaces,Navigational,110,21,1.40,0.49,0,19,,https://www.maccollandstokeslandscaping.co.uk/garden-design,194
best driveway surface,Commercial,110,3,1.06,0.99,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,192
block paving glasgow,Commercial,110,14,2.41,0.66,0,58,,https://www.maccollandstokeslandscaping.co.uk/driveways,176
commercial landscape companies,Commercial,110,13,3.04,0.20,0,46,,https://www.maccollandstokeslandscaping.co.uk/,119
contemporary small gardens,Informational,110,8,0.74,1.00,0,35,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,194
cost for patio,Informational,110,16,1.35,0.94,0,11,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,167
cost of patio per m2,Commercial,110,16,1.36,0.73,0,15,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,172
design for a small garden uk,Informational,110,21,0.61,0.87,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,194
different driveway types,Informational,110,16,0.89,0.46,0,21,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,135
downward sloping garden ideas uk,Informational,110,11,0.71,0.07,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,134
driveway coverings,Commercial,110,13,1.11,1.00,0,11,,https://www.maccollandstokeslandscaping.co.uk/post/what-the-best-driveway-ideas-have-in-common,190
driveway resin cost uk,Informational,110,9,1.39,0.57,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,174
easy maintenance garden,Informational,110,19,0.94,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/low-maintenance-garden-ideas,191
front gardens uk,Informational,110,22,0.59,0.11,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,196
garden bar area,Informational,110,14,3.80,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,197
garden design for sloping garden,Informational,110,13,0.58,0.35,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,131
garden flooding solutions,Informational,110,17,1.06,1.00,0,63,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-fix-a-waterlogged-garden,162
garden landscaping glasgow,Commercial,110,47,1.57,0.56,0,1,,https://www.maccollandstokeslandscaping.co.uk/,113
garden levels,Informational,110,10,1.30,1.00,0,27,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,191
garden private,Informational,110,13,0.00,0.09,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,188
glasgow driveway,Informational,110,37,2.45,0.45,0,6,,https://www.maccollandstokeslandscaping.co.uk/driveways,110
how much does a patio cost uk,Informational,110,11,1.16,0.62,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,104
how much for a patio,Informational,110,16,1.13,0.93,0,24,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,180
how to get privacy in an overlooked garden,Informational,110,9,0.52,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,32600000
how to make a garden more private,Informational,110,10,0.34,0.99,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,49
how to make garden more private,Informational,110,11,0.34,0.99,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,130
ideas for sloping front gardens,Informational,110,18,0.00,0.15,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,128
ideas for small front gardens uk,Informational,110,26,0.40,0.58,0,26,,https://www.maccollandstokeslandscaping.co.uk/post/front-garden-ideas,192
kitchen in garden,Informational,110,15,1.48,0.45,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,180
kitchen outdoor ideas,Informational,110,28,0.56,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,183
lanscapes,Informational,110,53,1.69,0.10,0,58,,https://www.maccollandstokeslandscaping.co.uk/,149
large garden designs,Informational,110,28,0.77,0.68,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,196
large garden ideas uk,Informational,110,22,0.74,0.99,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/large-garden-design-ideas-for-scottish-homes,186
levelling sloped garden,Informational,110,11,1.34,0.07,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/how-to-level-a-sloped-garden,184
maintenance garden,Commercial,110,21,1.48,0.36,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/low-maintenance-garden-ideas,134
outdoor garden bar ideas,Informational,110,16,2.58,1.00,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,194
outdoor kitchen idea,Informational,110,28,0.58,1.00,0,2,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,197
outdoor living rooms,Commercial,110,27,1.12,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,182
outside bar in garden,Informational,110,23,1.49,1.00,0,7,,https://www.maccollandstokeslandscaping.co.uk/post/garden-bar-ideas-designs-that-work,196
outside room ideas,Informational,110,32,1.06,1.00,0,3,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-living-space-ideas,193
overlooked garden ideas,Informational,110,6,0.00,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,193
overlooked garden privacy ideas,Informational,110,9,0.00,0.99,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,198
panorama landscaping,Informational,110,22,0.00,0.10,0,25,,https://www.maccollandstokeslandscaping.co.uk/,114
patio costs per m2,Informational,110,14,1.36,0.73,0,13,,https://www.maccollandstokeslandscaping.co.uk/post/how-much-does-a-patio-cost,95
pergola ideas for small gardens uk,Informational,110,22,0.39,0.99,0,14,,https://www.maccollandstokeslandscaping.co.uk/post/pergola-design-ideas-maccoll-stokes,199
pergola installers uk,Commercial,110,11,2.55,1.00,0,36,,https://www.maccollandstokeslandscaping.co.uk/pergolas,190
pitch landscaping,Informational,110,4,0.00,0.00,0,40,,https://www.maccollandstokeslandscaping.co.uk/,144
privacy garden ideas,Informational,110,11,0.21,1.00,0,1,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,197
privacy plantings screens,Informational,110,13,0.31,1.00,0,6,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,195
really small garden ideas,Informational,110,22,0.37,0.90,0,46,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,221
resin driveways cost uk,Informational,110,9,1.39,0.57,0,4,,https://www.maccollandstokeslandscaping.co.uk/post/resin-driveway-cost-uk-2026-real-prices-from-a-scottish-installer,168
rukeri,Navigational,110,15,0.31,0.30,0,19,,https://www.maccollandstokeslandscaping.co.uk/,108
screening ideas for garden,Informational,110,22,0.22,1.00,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/garden-privacy-ideas-for-overlooked-properties,202
sloping garden designs,Informational,110,7,0.58,0.35,0,8,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,133
small garden design uk,Informational,110,22,0.61,0.87,0,12,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,192
small garden ideas garden designs,Informational,110,22,0.47,1.00,0,16,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,133
small garden layouts,Informational,110,-1,0.42,0.75,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/small-garden-design-ideas,191
small outdoor kitchen ideas uk,Informational,110,22,0.41,1.00,0,5,,https://www.maccollandstokeslandscaping.co.uk/post/outdoor-kitchen-ideas-for-uk-gardens,191
small sloping garden ideas uk,Informational,110,9,0.00,0.10,0,10,,https://www.maccollandstokeslandscaping.co.uk/post/sloped-garden-design-ideas-that-actually-work,134
